id,name,dalys
AUS,Australia,11.8
AUT,Austria,9.4
BEL,Belgium,15.9
CAN,Canada,11.1
CZE,Czech Republic,6.7
DNK,Denmark,9.4
FIN,Finland,16.8
FRA,France,20.8
DEU,Germany,6.2
GRC,Greece,39.9
HUN,Hungary,10.2
ISL,Iceland,6
IRL,Ireland,13.7
ITA,Italy,32.2
JPN,Japan,3.7
KOR,"Korea, South",10.5
LUX,Luxembourg,14.1
MEX,Mexico,6.9
NLD,Netherlands,7.2
NZL,New Zealand,11.5
NOR,Norway,9.7
POL,Poland,11.8
PRT,Portugal,20.3
SVK,Slovakia,14.9
ESP,Spain,34.4
SWE,Sweden,16.7
CHE,Switzerland,7.9
TUR,Turkey,20.1
GBR,United Kingdom,11.3
USA,United States,8.6
CHL,Chile,17.6
EST,Estonia,11.9
ISR,Israel,7.1
LVA,Latvia,12.2
LTU,Lithuania,11.2
SVN,Slovenia,8.8